Species	HA1	HA2	HA3	HA4	HA5	HA6	HA7	HB1	HB2	HB3	HB4	HB5	HB6	HB7	HC1	HC2	HC3	HC4	HC5	HC6	HC7	HD1	HD2	HD3	HD4	HD5	HD6	HD7	HE1	HE2	HE3	HE4	HE5	HE6	HE7	HF1	HF2	HF3	HF4	HF5	HF6	HF7	VA1	VA2	VA3	VA4	VA5	VD1	VD2	VD3	VD4	VD5	VF1	VF2	VF3	VF4	VF5	MA1	MA2	MA3	MA4	MA5	MA6	MB1	MB2	MB3	MB4	MB5	MB6	MC1	MC2	MC3	MC4	MC5	MC6	MD1	MD2	MD3	MD4	MD5	MD6	ME1	ME2	ME3	ME4	ME5	ME6	MF1	MF2	MF3	MF4	MF5	MF6	YA1	YA2	YA3	YA4	YA5	YD1	YD2	YD3	YD4	YD5	YF1	YF2	YF3	YF4	YF5
Desulfitobacterium hafniense	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.02	0	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0.013	0.006	0.006	0.008	0.005	0.013	0.01	0.009	0.017	0.007	0.014	0.01	0.003	0.013	0.02	0.03	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02
Pseudoclostridium thermosuccinogenes	0.01	0	0.02	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.02	0.01	0	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.015	0.02	0.01	0.006	0.01	0.006	0.02	0.012	0.008	0.023	0.007	0.016	0.017	0.012	0.013	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02
Faecalibaculum rodentium	0.01	0.01	0.02	0.01	0.01	0	0	0.02	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0	0.01	0.01	0.01	0.02	0	0.02	0	0.01	0.01	0.01	0.02	0	0.02	0.01	0.01	0.01	0.01	0.016	0.02	0.01	0.016	0.014	0.016	0.022	0.018	0.02	0.03	0.008	0.021	0.043	0.007	0.027	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.09	0.07	0.43	0.36	0.03	0.02	0.35	0.38	0.12	0.04	0.11	0.2	0.69	0.35	0.03	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.04
Bifidobacterium animalis	0.41	0.01	0.01	0.04	0	0.01	0	0.1	0.02	0	0.03	0.01	0.01	0.01	0.02	0.01	0	0.03	0	0.02	0	0	0.01	0.01	0.01	0	0	0	0.01	0	0	0	0	0	0.01	0.8	0	0	0	0	0.01	0	0.005	0.004	0.003	0.001	0.002	0.004	0.005	0.005	0.002	0.076	0.005	0.008	0.008	0.002	0.006	0.01	0.02	0.04	0.05	0.03	0.03	0.01	0	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.04	0.01	0.03	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.02
Eggerthella lenta	0.63	0.13	0.03	0.2	0.02	0.03	0.1	0.28	0.01	0.01	0.07	0.02	0.04	0.96	1.01	0.09	0.03	0.07	0.03	0.28	0.22	0.22	0.08	0.04	0.06	0.01	0.09	0.22	0.19	0.04	0.02	0.06	0.03	0.21	1.01	0.27	0.01	0.03	0.07	0.03	0.23	0.58	0.016	0.013	0.154	0.033	0.033	0.013	0.017	0.041	0.011	0.024	0.004	0.015	0.037	0.186	0.068	0.03	0.04	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.03	0.01	0.02	0.04	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
Slackia heliotrinireducens	0.01	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.02	0	0.01	0.01	0.01	0.01	0	0.01	0	0.01	0.02	0.01	0.01	0	0.02	0.01	0.02	0.01	0	0.01	0.018	0.007	0.01	0.005	0.004	0.019	0.006	0.003	0.025	0.008	0.022	0.023	0.006	0.018	0.02	0.03	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02
Aeromonas caviae	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.004	0	0.001	0.001	0	0.004	0.001	0.001	0.001	0.001	0.001	0.002	0.001	0.001	0.02	0.02	0.02	0.02	0.03	0.03	0.02	0.02	0.02	0.03	0.03	0.03	0.02	0.03	0.01	0.01	0.02	0.03	0.03	0.02	0.01	0.01	0.02	0.01	0.02	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.04	0.02	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.03	0.02	0.02	0.03	0.02
Ralstonia solanacearum	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.007	0.013	0.002	0.005	0.005	0.004	0.017	0.003	0.002	0.01	0.007	0.013	0.011	0.003	0.009	0.01	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Hymenobacter sp. PAMC 26554	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0.02	0	0.01	0	0	0.01	0.02	0.01	0	0	0	0	0.002	0.016	0.001	0.004	0.003	0.001	0.018	0.007	0.001	0.005	0.008	0.017	0.016	0.002	0.005	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01
Bacillus velezensis	0.02	0	0.01	0.01	0	0	0.01	0.02	0.01	0.02	0.01	0	0	0.02	0.01	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.004	0.005	0.002	0.002	0.003	0.003	0.004	0.002	0.005	0.002	0.003	0.003	0.006	0.003	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.03	0.01	0.02	0.02	0.02	0.02	0.02
Paenibacillus thiaminolyticus	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.02	0.01	0	0.01	0	0	0.008	0.007	0.007	0.006	0.004	0.003	0.008	0.003	0.007	0.011	0.006	0.015	0.012	0.006	0.008	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02
Brevibacillus brevis	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0.01	0.01	0	0.01	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0.01	0.01	0	0	0	0.009	0.019	0.006	0.004	0.006	0.004	0.017	0.007	0.008	0.01	0.005	0.009	0.006	0.008	0.008	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01
Mycobacteroides chelonae	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.001	0	0	0	0	0.001	0	0	0.001	0	0	0	0	0	0.03	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.02	0.02	0.02	0.03	0.04	0.04	0.03	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.04	0.04	0.05	0.04	0.05	0.03	0.05	0.05	0.04	0.03	0.03	0.04	0.04	0.03	0.03
Pseudomonas syringae	0.01	0	0.03	0.01	0.01	0	0.01	0.01	0.04	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.02	0.01	0.01	0.01	0.01	0.05	0.02	0.01	0.01	0	0	0.01	0	0.01	0	0.01	0.01	0.01	0.01	0.04	0.01	0.01	0.01	0.01	0	0.005	0.017	0.005	0.004	0.006	0.004	0.02	0.008	0.004	0.008	0.003	0.016	0.013	0.006	0.009	0.02	0.03	0.02	0.02	0.03	0.03	0.02	0.02	0.03	0.03	0.03	0.03	0.02	0.03	0.01	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.04	0.03	0.03	0.03	0.03	0.03	0.02	0.03	0.02	0.02	0.02	0.03	0.03	0.02
Burkholderia cenocepacia	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0.01	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0.003	0.003	0.003	0.001	0.001	0.005	0.002	0.002	0.006	0.004	0.004	0.003	0.003	0.005	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.02
Burkholderia pseudomallei	0	0	0.02	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.02	0.01	0	0	0	0	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0.002	0.001	0.001	0.002	0.001	0.003	0.001	0.001	0.004	0.002	0.002	0.004	0	0.004	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01
Fusobacterium ulcerans	0.01	0	0	0.03	0	0	0.01	0.01	0.01	0	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0.01	0.01	0.01	0	0.02	0.01	0	0.01	0.01	0	0	0.04	0	0.01	0.01	0	0.02	0.01	0.03	0.01	0	0	0.008	0.012	0.013	0.004	0.006	0.006	0.01	0.015	0.007	0.01	0.005	0.011	0.012	0.025	0.006	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01
Candidatus Azobacteroides pseudotrichonymphae	0	0	0.02	0	0.01	0.01	0	0	0.01	0.02	0	0.02	0	0	0	0	0.02	0	0	0	0	0.01	0.01	0.02	0	0.01	0	0	0.01	0	0.02	0	0.01	0	0	0.01	0.02	0.02	0	0	0	0	0.005	0.018	0.005	0.009	0.007	0.001	0.017	0.012	0.005	0.006	0.002	0.014	0.006	0.004	0.007	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.03	0.01	0.03	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02
Flammeovirgaceae bacterium 311	0	0	0.02	0	0.01	0	0.01	0	0.01	0.02	0	0.01	0	0	0	0	0.02	0	0	0	0.01	0.01	0.01	0.01	0	0.01	0	0	0.01	0	0.03	0	0.01	0	0.01	0.01	0.02	0.02	0	0	0	0	0.006	0.019	0.003	0.008	0.006	0.003	0.021	0.009	0.005	0.006	0.006	0.029	0.01	0.007	0.007	0.02	0.01	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.03	0.02	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.02	0.02	0.03	0.02	0.03	0.02	0.03	0.03	0.03	0.02	0.02	0.03	0.02	0.02	0.02
Clostridium argentinense	0.01	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0	0.01	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.011	0.014	0.025	0.006	0.013	0.006	0.01	0.011	0.016	0.025	0.005	0.014	0.02	0.018	0.016	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Staphylococcus epidermidis	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0	0	0.01	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0.03	0	0	0	0	0	0	0.02	0	0	0	0	0	0.004	0.009	0.005	0.002	0.006	0.002	0.006	0.008	0.004	0.006	0.001	0.008	0.008	0.004	0.004	0.03	0.05	0.01	0.02	0.01	0.01	0.01	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Megasphaera stantonii	0.01	0	0.01	0.01	0	0	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.018	0.029	0.023	0.009	0.01	0.01	0.033	0.009	0.005	0.03	0.006	0.02	0.018	0.012	0.026	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.02
Citrobacter amalonaticus	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0.03	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0.004	0.002	0.001	0.002	0.001	0.001	0.002	0	0	0.003	0.001	0.002	0.002	0	0.015	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Cedecea neteri	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0.01	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0.01	0	0	0.02	0	0.01	0	0	0	0.02	0.01	0	0.01	0.01	0	0.005	0.012	0.004	0.004	0.005	0.003	0.013	0.005	0.002	0.007	0.002	0.01	0.008	0.006	0.007	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Rhizobium etli	0	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0	0	0.01	0.01	0	0	0	0	0.02	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0.03	0.01	0	0	0	0	0.004	0.007	0.002	0.002	0.002	0.002	0.008	0.002	0.001	0.007	0.001	0.007	0.009	0.001	0.004	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Sinorhizobium fredii	0	0	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0.01	0.01	0	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0.009	0.008	0.002	0.004	0.005	0.004	0.01	0.01	0.003	0.01	0.005	0.011	0.004	0.001	0.011	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01
Hymenobacter swuensis	0	0	0.01	0	0	0	0.01	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0.003	0.006	0.001	0.002	0.004	0.001	0.007	0.004	0.004	0.005	0.015	0.017	0.011	0.002	0.005	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.03	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.03	0.03	0.03	0.02	0.02	0.02	0.03	0.02	0.02	0.02	0.01	0.02	0.03	0.02	0.01
Hymenobacter sp. 17J36-26	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0.01	0	0	0	0	0.01	0	0	0	0	0.005	0.021	0.001	0.002	0.002	0.001	0.021	0.005	0.001	0.004	0.008	0.01	0.009	0.001	0.003	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01
Clostridium sp. DL-VIII	0.02	0.01	0.01	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0	0.03	0.02	0	0.01	0	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.01	0.009	0.017	0.031	0.007	0.014	0.01	0.013	0.023	0.008	0.02	0.008	0.016	0.017	0.022	0.016	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01
Clostridiaceae bacterium 14S0207	0.01	0	0.01	0.01	0	0	0	0.01	0	0	0.01	0	0	0.01	0	0	0	0.01	0	0	0.01	0.01	0	0	0.01	0.01	0	0.01	0.01	0	0	0.01	0	0	0	0	0	0.01	0.01	0.01	0	0	0.005	0.009	0.011	0.003	0.004	0.003	0.007	0.012	0.004	0.013	0.004	0.007	0.011	0.007	0.007	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Rhodococcus opacus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0.004	0.006	0.002	0.003	0.007	0.002	0.008	0.003	0.003	0.007	0.002	0.006	0.005	0.005	0.006	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01
Victivallales bacterium CCUG 44730	0	0	0.03	0	0	0.08	0	0.01	0.01	0.02	0	0	0.01	0	0	0	0.02	0.01	0	0	0	0.01	0.01	0.01	0	0	0	0	0.01	0	0.02	0	0.01	0	0	0.01	0.02	0.01	0.01	0.01	0	0	0.427	0.024	0.003	0.047	0.007	0.003	0.034	0.004	0.003	0.314	0.007	0.038	0.018	0.003	0.061	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01
Hymenobacter sp. PAMC 26628	0	0	0.02	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.01	0	0	0	0	0	0	0.02	0	0	0	0	0	0	0.01	0	0	0	0	0.004	0.011	0.002	0.004	0.002	0.001	0.012	0.003	0.001	0.004	0.014	0.02	0.066	0.002	0.007	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.03	0.02	0.01	0.01	0.01	0.01	0.02	0.02	0.01
Hymenobacter sp. sh-6	0	0	0.02	0	0.01	0.01	0.01	0	0	0.02	0	0.01	0.01	0	0	0	0.01	0	0.01	0	0.01	0	0	0.01	0	0.01	0	0	0	0	0.02	0	0.01	0	0.01	0	0	0.01	0	0	0	0	0.005	0.016	0.002	0.003	0.005	0.001	0.016	0.01	0.001	0.004	0.012	0.015	0.009	0.002	0.007	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0	0	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01
